	name	cuisines	rank	nreviews	address	phone	website	score	food	service	value
173	Baking ba	Almuerzo	#1.836 de 5.010 restaurantes en Buenos Aires	29 opiniones	Suipacha 747, Buenos Aires Argentina	+54 11 4375-2905	http://www.bakingba.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
174	Burger King	Comida para llevar, Acceso para silla de ruedas	#1.848 de 5.010 restaurantes en Buenos Aires	75 opiniones	Calle Carlos Pellegríni, 451 - San Nicolás, Buenos Aires Argentina	+54 11 4375-2905	http://www.burgerking.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
175	DRAFT by MyBeer	Cena, Abierto hasta tarde, Bebidas, Almuerzo	#1.849 de 5.010 restaurantes en Buenos Aires	14 opiniones	Manuela Pedraza 4069 Coghlan, Buenos Aires C1430AOM Argentina	+54 11 6454-1108	http://draftbymybeer.com/	ui_bubble_rating bubble_45	none	none	none
176	La Nueva Gata Alegría	Cena	#1.850 de 5.010 restaurantes en Buenos Aires	16 opiniones	Calle Billinghurst 2046 entre Juncal y Berutti, Buenos Aires C1425DTP Argentina	+54 11 4823-6557	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
177	Wok Express	Apto para vegetarianos, Opciones veganas	#1.852 de 5.010 restaurantes en Buenos Aires	37 opiniones	Calle Carlos Pellegrini 169, Buenos Aires C1009ABC Argentina	+54 11 4823-6557	https://www.facebook.com/wokexpressbaires	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
178	Pizzicato	Almuerzo, Cena	#1.866 de 5.010 restaurantes en Buenos Aires	15 opiniones	Avenida Asamblea 499 Y Jose Maria Moreno, Buenos Aires C1424COE Argentina	+54 11 4924-2724	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
179	El Bar De Carmen	Argentina, Sudamericana	#1.874 de 5.010 restaurantes en Buenos Aires	11 opiniones	Bolivar 954 San Telmo, Buenos Aires C1066AAT Argentina	+54 11 4307-1262	http://www.facebook.com/elbardecarmensantelmo/	ui_bubble_rating bubble_45	none	none	none
180	Praline Cakes	none	#1.887 de 5.010 restaurantes en Buenos Aires	10 opiniones	Calle Fray Justo Santa Maria de Oro 2686, Buenos Aires C1425FON Argentina	+54 11 3140-5576	https://www.facebook.com/pralinecakes/	ui_bubble_rating bubble_45	none	none	none
181	Street Market	Pub con cerveza artesanal, Pizzería, Café, Sushi, Española, Pub	#1.891 de 5.010 restaurantes en Buenos Aires	8 opiniones	Avenida Paseo Colon 207 Avenida Paseo Colon 207, Buenos Aires C1063ACC Argentina	+54 11 6002-6920	http://streetmarket.com.ar/	ui_bubble_rating bubble_50	none	none	none
182	Brasileirinho	Desayuno, Almuerzo, Cena	#1.897 de 5.010 restaurantes en Buenos Aires	41 opiniones	Calle Florida 537 Local 270, Subsolo, Buenos Aires C1005AAK Argentina	+54 11 4328-8787	http://www.facebook.com/Brasileirinho-527437577422477	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
183	Burger King	Cena	#1.911 de 5.010 restaurantes en Buenos Aires	110 opiniones	Avenida Santa Fe 4190, Buenos Aires C1425BHQ Argentina	+54 810-122-5464	http://www.burgerking.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30
184	Fiorenza	Argentina, Italiana, Sudamericana	#1.916 de 5.010 restaurantes en Buenos Aires	9 opiniones	Avenida Diaz Velez 5316 Caballito, Buenos Aires C1405DCV Argentina	+54 11 4982-9892	http://www.fiorenzahelados.com.ar/header.html	ui_bubble_rating bubble_50	none	none	none
185	Estación 628	Cena	#1.918 de 5.010 restaurantes en Buenos Aires	9 opiniones	Avenida Raul Scalabrini Ortiz 628, Buenos Aires C1414DNT Argentina	+54 11 4855-6155	https://www.facebook.com/estacion628/	ui_bubble_rating bubble_50	none	none	none
186	Kentucky	Comida para llevar, Asiento	#1.935 de 5.010 restaurantes en Buenos Aires	79 opiniones	Paraguay 501, Buenos Aires Argentina	43115994	http://www.pizzeriaskentucky.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
187	Pikito	Cena	#1.938 de 5.010 restaurantes en Buenos Aires	45 opiniones	Calle Helguera 2916, Buenos Aires C1417CQP Argentina	4502-0983	none	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
188	Holy Burgirls	Comida rápida, Argentina, Sudamericana	#1.940 de 5.010 restaurantes en Buenos Aires	31 opiniones	Bulnes 1248, Buenos Aires 1176 Argentina	+54 11 2068-0242	http://www.facebook.com/holyburgirls/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
189	Haysam	Apto para vegetarianos	#1.942 de 5.010 restaurantes en Buenos Aires	33 opiniones	Avenida Scalabrini Ortiz 1601 El Salvador, Buenos Aires Argentina	48339321	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
190	Club Portugues	Comida para llevar, Reservas, Asiento	#1.972 de 5.010 restaurantes en Buenos Aires	54 opiniones	Avenida Pedro Goyena 1468, Buenos Aires C1406GWQ Argentina	+54 11 4432-5801	none	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35
191	Punto y Banca	Apto para vegetarianos	#1.973 de 5.010 restaurantes en Buenos Aires	23 opiniones	Mansilla 3494 Palermo, Buenos Aires C1180ACH Argentina	+54 11 4823-9345	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
192	La Palomina	Argentina, Parrilla	#1.979 de 5.010 restaurantes en Buenos Aires	32 opiniones	Soler 6093, Buenos Aires 1425 Argentina	+54 11 6964-8485	none	ui_bubble_rating bubble_40	none	none	none
193	TuArepa.com	Latina, Venezolana, Española, Sudamericana	#1.980 de 5.010 restaurantes en Buenos Aires	14 opiniones	Aguero 1199 y paraguay, Buenos Aires C1425EHA Argentina	+54 11 2402-9384	http://www.facebook.com/tuarepabuenosaires/	ui_bubble_rating bubble_45	none	none	none
194	Confiteria Antigua Belgrano	none	#1.982 de 5.010 restaurantes en Buenos Aires	11 opiniones	Cabildo 2077 Juramento, Buenos Aires Argentina	47885829	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
195	Sumaq Sangucheria Italo Peruana	Cena, Desayuno, Almuerzo	#1.988 de 5.010 restaurantes en Buenos Aires	21 opiniones	Avenida Cordoba 380, Buenos Aires C1054AAP Argentina	4313 5559	https://www.pyme.pe/sumaq	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
196	Pekin Restaurante	Almuerzo	#1.989 de 5.010 restaurantes en Buenos Aires	31 opiniones	Marcelo t de Alvear 430, Buenos Aires Argentina	4313 5559	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
197	Gustado’s	Argentina, Sudamericana	#2.008 de 5.010 restaurantes en Buenos Aires	11 opiniones	Bogota 350, Buenos Aires C1405 Argentina	+54 11 4902-5001	http://www.gustados.com.ar/	ui_bubble_rating bubble_45	none	none	none
198	La Parrilla De Dieguito	Cena	#2.013 de 5.010 restaurantes en Buenos Aires	15 opiniones	Joaquin V. Gonzalez 3101, Buenos Aires Argentina	+54 11 4902-5001	none	ui_bubble_rating bubble_45	none	none	none
199	Beerlabs	Pub con cerveza artesanal, Bar, Pub, Gastropub, Argentina	#2.014 de 5.010 restaurantes en Buenos Aires	7 opiniones	Calle Humboldt 1618 Humboldt y Gorriti, Buenos Aires C1414CTP Argentina	+54 11 3013-4810	http://www.beerlabs.com.ar/	ui_bubble_rating bubble_45	none	none	none
200	The Little Bar	Pub con cerveza artesanal, Argentina, Pizzería, Pub, Sudamericana	#2.031 de 5.010 restaurantes en Buenos Aires	38 opiniones	Calle Gurruchaga 1324, Buenos Aires C1414DIB Argentina	+54 11 5612-7937	http://www.thelittlebar.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
201	Vinotinto Cocina Andante	Italiana, Latina, Mediterránea, Española	#2.036 de 5.010 restaurantes en Buenos Aires	9 opiniones	Calle Julian Alvarez 1602 Esquina El Salvador, Buenos Aires C1414DSH Argentina	5448614941	http://www.vinotintococina.com/	ui_bubble_rating bubble_45	none	none	none
202	La Diosa	Cena	#2.042 de 5.010 restaurantes en Buenos Aires	22 opiniones	Calle El Salvador 5565, Buenos Aires C1414BQC Argentina	+54 11 2051-5959	https://www.facebook.com/cenashowboliche/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
203	KFC	Cena	#2.050 de 5.010 restaurantes en Buenos Aires	24 opiniones	Calle Florida Galerias Pacifico, Buenos Aires C1053ABK Argentina	+54 11 5555-5110	http://www.kfc.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
204	Las Medialunas Del Abuelo	Desayuno, Brunch	#2.052 de 5.010 restaurantes en Buenos Aires	26 opiniones	Calle San Jose de Calasanz 154 Caballito, Buenos Aires C1424AHD Argentina	4902-4430	http://www.medialunasdelabuelo.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
205	Subway San Telmo	Comida para llevar	#2.056 de 5.010 restaurantes en Buenos Aires	31 opiniones	Defensa 891, Buenos Aires Argentina	4902-4430	http://www.subwayargentina.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
206	The BARBEER	Bar, Pub con cerveza artesanal, Comida rápida, Pub	#2.059 de 5.010 restaurantes en Buenos Aires	27 opiniones	Costa Rica 5560 Palermo Hollywwod, Buenos Aires 1414 Argentina	+54 11 2192-0682	http://thebarbeer.co/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
207	El Autentico Club de La Salchicha Alemana	none	#2.063 de 5.010 restaurantes en Buenos Aires	15 opiniones	Calle Suipacha 184, Buenos Aires C1008AAD Argentina	+54 11 4322-3838	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
208	Ravens Craft Beer	Estadounidense, Argentina, Venezolana, Sudamericana	#2.064 de 5.010 restaurantes en Buenos Aires	10 opiniones	Calle Balcarce 983, Buenos Aires C1064AAS Argentina	+54 11 4322-3838	https://www.facebook.com/ravenscraftbeer/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50
209	Siete Cafe Urbano	Café, Comida rápida, Argentina, Sudamericana	#214 de 441 casas de café y té en Buenos Aires	7 opiniones	Avenida Rivadavia 1182, Buenos Aires C1033AAO Argentina	43813873	https://www.facebook.com/sietecafeurbano/	ui_bubble_rating bubble_50	none	none	none
210	Dunkel	Italiana, Estadounidense, Alemana, Brasilera, Argentina, Sudamericana	#2.077 de 5.010 restaurantes en Buenos Aires	11 opiniones	Piedras 178, Buenos Aires 1768 Argentina	5443420402	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
211	Temple Craft Madero	Cena	#2.091 de 5.010 restaurantes en Buenos Aires	24 opiniones	Juana Manuela Gorriti 867, Puente de la Mujer., Buenos Aires C1106 Argentina	+54 9 11 6739-0110	http://www.thetemplebar.com.ar/	ui_bubble_rating bubble_40	none	none	none
212	Esquina Taki	Cena, Bebidas	#2.097 de 5.010 restaurantes en Buenos Aires	23 opiniones	Avenida Garcia Del Rio 3003, Buenos Aires C1429DEG Argentina	+54 11 3209-5802	http://www.facebook.com/esquina.taki	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
213	Y La Vaca Chocha	Desayuno, Almuerzo, Cena, Brunch	#2.099 de 5.010 restaurantes en Buenos Aires	14 opiniones	Avenida San Juan 409, Buenos Aires C1147AAC Argentina	2047 - 5827	https://www.facebook.com/Y-la-Vaca-Chocha-418779168177808/?fref=ts	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
214	Demashk	Apto para vegetarianos	#2.102 de 5.010 restaurantes en Buenos Aires	22 opiniones	Charcas 3816, Buenos Aires Argentina	+54 11 4833-6699	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
215	Resto El Pato Loco	Almuerzo, Cena	#2.113 de 5.010 restaurantes en Buenos Aires	17 opiniones	Goncalves Días 873, Buenos Aires 1276 Argentina	+54 11 4301-9462	https://www.facebook.com/Resto-El-Pato-Loco-1818201498409385/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
216	Subway	Comida para llevar, Wi-Fi gratis, Acceso para silla de ruedas	#2.117 de 5.010 restaurantes en Buenos Aires	65 opiniones	Cordoba 945, Buenos Aires 1008 Argentina	43220293	http://www.subwayargentina.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_30
217	Cafe de los Caminantes	none	#2.120 de 5.010 restaurantes en Buenos Aires	13 opiniones	Sarmiento 4701, Buenos Aires Argentina	43220293	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
218	Ditalia	Cena	#2.123 de 5.010 restaurantes en Buenos Aires	16 opiniones	Calle Maipu 902, Buenos Aires C1006ACN Argentina	+54 11 4311-1972	none	ui_bubble_rating bubble_40	none	none	none
219	Naturaleza Divina	De la India	#2.126 de 5.010 restaurantes en Buenos Aires	28 opiniones	Ciudad de la Paz 394, Buenos Aires Argentina	3532-9996	http://www.facebook.com/Naturaleza-Divina-116643091741343/timeline	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
220	Cerveza Patagonia	Almuerzo, Cena, Abierto hasta tarde, Bebidas	#2.133 de 5.010 restaurantes en Buenos Aires	9 opiniones	Gurruchaga, 1437 Cerca esquina c/ José Antonio Cabrera, Buenos Aires C1414DID Argentina	+54 11 2122-6372	http://www.cervezapatagonia.com.ar/	ui_bubble_rating bubble_45	none	none	none
221	Al Fares	Apto para vegetarianos	#2.136 de 5.010 restaurantes en Buenos Aires	55 opiniones	Aráoz 1047, Buenos Aires C1414DPT Argentina	+54 11 4772-2051	http://www.facebook.com/alfaresresto/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
222	Buenos Aires Bakery	Desayuno, Almuerzo, Cena	#2.142 de 5.010 restaurantes en Buenos Aires	9 opiniones	Avenida Santa Fe 1185, Buenos Aires C1059ABF Argentina	4813-5398	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
223	On tap Barcelona	Cena	#2.145 de 5.010 restaurantes en Buenos Aires	22 opiniones	Muñiz 1002, Buenos Aires Argentina	+54 11 2088-7043	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
224	Sunderland Club	Cena, Almuerzo	#2.154 de 5.010 restaurantes en Buenos Aires	23 opiniones	L Lugones 3161, Buenos Aires 1430 Argentina	+54 11 4541-2378	https://www.facebook.com/sunderland.club.5	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
225	Hotel ritz	none	#2.163 de 5.010 restaurantes en Buenos Aires	38 opiniones	Avenina De mayo 1111, Buenos Aires Argentina	+54 11 4541-2378	none	ui_bubble_rating bubble_35	none	none	none
226	Mi Consuelo	Almuerzo, Cena	#2.168 de 5.010 restaurantes en Buenos Aires	17 opiniones	Calle Monroe 1420 entre Av. Del Libertador y Migueletes, Buenos Aires C1428BKP Argentina	+54 11 4787-1505	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
227	Musicleta Resto + Bar y Musica en vivo	none	#2.172 de 5.010 restaurantes en Buenos Aires	9 opiniones	Aguirre 489, Buenos Aires Argentina	+54 11 4787-1505	http://www.facebook.com/musicletabar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	none
228	Eat	Desayuno, Almuerzo	#2.185 de 5.010 restaurantes en Buenos Aires	23 opiniones	Tucuman 420 Entre Reconquista y San Martin - Microcentro Porteno, Buenos Aires Argentina	43228782	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35
229	Café Bar Defensa	Argentina	#2.188 de 5.010 restaurantes en Buenos Aires	61 opiniones	Defensa 1301, Buenos Aires C1143AAC Argentina	+54 11 4361-0673	https://www.facebook.com/BarDefensa/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
230	I Love Arepa	Almuerzo, Cena, Desayuno	#2.193 de 5.010 restaurantes en Buenos Aires	18 opiniones	Rodríguez Peña 33, Buenos Aires 4101 Argentina	+54 11 2899-7864	http://www.buenasarepas.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
231	Bataxa	Cena	#2.199 de 5.010 restaurantes en Buenos Aires	13 opiniones	Ramsay 1880, Buenos Aires 1428 Argentina	+54 11 2899-7864	none	ui_bubble_rating bubble_45	none	none	none
232	Viejo Bar	Asiento, Servicio de mesa	#2.200 de 5.010 restaurantes en Buenos Aires	13 opiniones	Avenida Cordoba 4731, Buenos Aires C1414BAF Argentina	+54 11 4770-9110	https://www.facebook.com/viejobardepalermo/	ui_bubble_rating bubble_40	none	none	none
233	La Corvina	Pizzería, Argentina, Sudamericana	#2.206 de 5.010 restaurantes en Buenos Aires	21 opiniones	Emilio Castro 7296 Liniers, Buenos Aires Argentina	+(54)46861056	https://www.facebook.com/lacorvinapizzeria/	ui_bubble_rating bubble_40	none	none	none
234	Ugi’s	Cena	#2.215 de 5.010 restaurantes en Buenos Aires	20 opiniones	Av. Córdoba 5021, Buenos Aires C1414BAI Argentina	+54 11 4647-2596	https://www.facebook.com/PizzaUgis?fref=nf	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_45
235	Los Tucu 2	none	#2.220 de 5.010 restaurantes en Buenos Aires	7 opiniones	Calle Salta 703 Montserrat, Buenos Aires C1074AAO Argentina	+54 43824693	https://www.facebook.com/Los-Tucus-2-60590481806/	ui_bubble_rating bubble_45	none	none	none
236	Le Troquet de Henry	Asiento	#2.229 de 5.010 restaurantes en Buenos Aires	31 opiniones	Guardia Vieja 3460, Buenos Aires Argentina	+54 11 4861-8694	https://www.facebook.com/letroquetdehenry.3460	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
237	Trak Pollo a Las Brasas	Entrega a domicilio, Comida para llevar	#2.230 de 5.010 restaurantes en Buenos Aires	19 opiniones	Calle Parral 59, Buenos Aires C1405AXA Argentina	+54 11 4785-5555	http://www.pollotrak.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
238	McDonald's	Almuerzo, Cena	#2.249 de 5.010 restaurantes en Buenos Aires	102 opiniones	Avenida Cabildo 742, Buenos Aires C1426AAU Argentina	+54 11 4785-5555	http://www.mcdonalds.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
239	Shami Shawarma	Cena	#2.251 de 5.010 restaurantes en Buenos Aires	26 opiniones	Calle Gurruchaga 691, Buenos Aires C1414DHM Argentina	+54 11 4785-5555	http://www.shami.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
240	Órale Juanito	Almuerzo, Cena, Abierto hasta tarde, Bebidas	#2.258 de 5.010 restaurantes en Buenos Aires	30 opiniones	Martin Fierro 2921, Buenos Aires 1713 Argentina	+54 11 4658-0381	http://www.facebook.com/OraleJuanito	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30
241	Kentucky	Almuerzo, Cena	#2.263 de 5.010 restaurantes en Buenos Aires	38 opiniones	Avenida Santa Fe 2702 esquina Anchorena, Buenos Aires C1425BGP Argentina	+54 11 4826-5799	http://www.pizzeriaskentucky.com/locales	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_25	ui_bubble_rating bubble_40
242	El Huracan	Cena	#2.279 de 5.010 restaurantes en Buenos Aires	16 opiniones	Avenue Caseros 2807, Buenos Aires Argentina	+54 11 4308-3520	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
243	McDonald's	Desayuno, Almuerzo, Cena	#2.290 de 5.010 restaurantes en Buenos Aires	117 opiniones	Av. Corrientes, 1650 - San Nicolás E / Rodriguez Pena and Montevideo, Buenos Aires 1043 Argentina	+54 11 4308-3520	none	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
244	Al Árabe	Del Medio Oriente	#2.300 de 5.010 restaurantes en Buenos Aires	35 opiniones	El Salvador 4999, Buenos Aires C1414BPO Argentina	+54 11 4833-0219	http://www.facebook.com/resturantealarabe/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
245	Patagonia	none	#2.318 de 5.010 restaurantes en Buenos Aires	6 opiniones	Calle Riobamba 1125, Buenos Aires C1116ABG Argentina	+54 11 4833-0219	http://www.cervezapatagonia.com.ar/	ui_bubble_rating bubble_45	none	none	none
246	Kevin Bacon	none	#2.328 de 5.010 restaurantes en Buenos Aires	5 opiniones	Calle Jose Ignacio Gorriti 4788, Buenos Aires C1414BJL Argentina	+54 11 4833-0219	https://www.facebook.com/Kevin-Bacon-2178472362437157/	ui_bubble_rating bubble_50	none	none	none
247	Fratelli	Brunch	#2.333 de 5.010 restaurantes en Buenos Aires	13 opiniones	Avenida Cordoba 421, Buenos Aires C1054AAD Argentina	+54 11 4516-0053	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
248	Cic Bar	Contemporánea, Pub, Gastropub	#2.337 de 5.010 restaurantes en Buenos Aires	8 opiniones	Calle Adolfo Alsina 894 Esquina Tacuarí, Buenos Aires C1087AAN Argentina	+54 11 3383-1120	http://www.cicbar.com.ar/	ui_bubble_rating bubble_45	none	none	none
249	Brauhaus Vier	Estadounidense, Pub con cerveza artesanal, Bar, Pub, Gastropub	#2.341 de 5.010 restaurantes en Buenos Aires	7 opiniones	Calle Beauchef 756, Buenos Aires C1424BDP Argentina	+54 11 3580-2237	http://es-la.facebook.com/brauhausvier/	ui_bubble_rating bubble_45	none	none	none
250	Noble y Natural	Opciones veganas	#2.342 de 5.010 restaurantes en Buenos Aires	17 opiniones	Av Corrientes, 4657, Buenos Aires Argentina	+54 11 4862-1827	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
251	Cosas Ricas Panaderia Y Confiteria	none	#2.343 de 5.010 restaurantes en Buenos Aires	9 opiniones	Peru 1085 Humberto Primo, Buenos Aires 1102 Argentina	43005747	none	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
252	Scarlett Cakes & Deli	Café, Delicatessen, Argentina, Sudamericana	#2.352 de 5.010 restaurantes en Buenos Aires	5 opiniones	Maipú 825 Entre Av. Córdoba y Paraguay, Buenos Aires C1006ACK Argentina	5443125114	http://www.scarlett.com.ar/	ui_bubble_rating bubble_50	none	none	none
253	Remember el Alamo	Desayuno, Almuerzo, Cena, Bebidas	#2.354 de 5.010 restaurantes en Buenos Aires	41 opiniones	Uruguay 1175, Buenos Aires Argentina	5443125114	none	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
254	Pedrá, pizza a la piedra	Pizzería, Argentina, Sudamericana	#2.356 de 5.010 restaurantes en Buenos Aires	5 opiniones	Carlos Calvo 865, Buenos Aires Argentina	+54 11 5458-1415	http://www.facebook.com/pedra.pizzaalapiedra/	ui_bubble_rating bubble_50	none	none	none
255	Subway	Apto para vegetarianos	#2.359 de 5.010 restaurantes en Buenos Aires	60 opiniones	Avenida Santa Fe 4974, Buenos Aires C1425BHY Argentina	+54 11 5458-1415	http://www.subwayargentina.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
256	Comic's	Apto para vegetarianos	#2.361 de 5.010 restaurantes en Buenos Aires	22 opiniones	Mitre, Buenos Aires 1605 Argentina	+54 11 5458-1415	none	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
257	Parrilla Dona Tota	Almuerzo, Cena	#2.365 de 5.010 restaurantes en Buenos Aires	23 opiniones	Costa Rica 4486, Buenos Aires 1414 Argentina	+54 9 11 6113-6466	https://www.facebook.com/Parrilla.DonaTota/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
258	Subway Diagonal Norte	Apto para vegetarianos, Opciones veganas	#2.375 de 5.010 restaurantes en Buenos Aires	20 opiniones	Diagonal Roque Saenz Peña 1118, Buenos Aires Argentina	+54 9 11 6113-6466	http://www.subwayargentina.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35
259	Home Burguer	Entrega a domicilio, Comida para llevar, Asiento	#2.378 de 5.010 restaurantes en Buenos Aires	52 opiniones	Calle Bonpland 1580 Entre Pueyrredón y Witcom, Buenos Aires C1414CMR Argentina	+54 11 4777-4020	http://homeburger.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
260	Parribayres Bar & Grill	Acceso para silla de ruedas	#2.383 de 5.010 restaurantes en Buenos Aires	12 opiniones	Maipu 646, Buenos Aires Argentina	+54 11 4328-5881	https://www.facebook.com/Parribayres-953846168010141/info/?section=hours&tab=page_info	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
