name	cuisines	rank	nreviews	address	phone	website	score	food	service	value
Kary's burger class	Comida rápida, Argentina, Sudamericana	#1.738 de 5.004 restaurantes en Buenos Aires	56 opiniones	Fitz Roy 1970, Buenos Aires C1414DDM Argentina	+54 11 3606-1317	http://www.karysburger.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Hui Yang Xuan	Cena, Almuerzo	#1.750 de 5.004 restaurantes en Buenos Aires	26 opiniones	Avenida Diaz Velez 4774, Buenos Aires C1405DCP Argentina	4983-0255		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Boniato Pizza	Cena	#1.762 de 5.004 restaurantes en Buenos Aires	20 opiniones	Calle Billinghurst 1608, Buenos Aires C1425DTH Argentina	+54 11 4821-3007		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Bar Via 71	Comida para llevar	#1.769 de 5.004 restaurantes en Buenos Aires	18 opiniones	Viamonte 1771 Buenos Aires Argentina, Buenos Aires Argentina	+54 11 4812-9104		ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
De Los Patriotas	Almuerzo, Cena	#1.772 de 5.004 restaurantes en Buenos Aires	29 opiniones	Calle Nicasio Orono 2200, Buenos Aires C1416BZV Argentina	+54 11 4584-3939	http://cafedelospatriotas.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Berretin	Cena	#1.800 de 5.004 restaurantes en Buenos Aires	38 opiniones	Avenida Del Libertador 4101 Hipódromo Argentino de Palermo, Buenos Aires C1426BWC Argentina	+54 11 4778-2800		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Regionale Trattoria	Cena	#1.805 de 5.004 restaurantes en Buenos Aires	23 opiniones	Calle Superi 1450, Buenos Aires C1426BAH Argentina	+54 11 6936-6774		ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
Las Medialunas Del Abuelo	Comida para llevar	#1.807 de 5.004 restaurantes en Buenos Aires	26 opiniones	Avenida Rivadavia 5926, Buenos Aires C1406GLP Argentina	20573930	http://www.medialunasdelabuelo.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Elote	Latina, Venezolana, Mexicana, Caribeña, Española, Sudamericana	#1.815 de 5.004 restaurantes en Buenos Aires	12 opiniones	Avenida Jorge Newbery 3791, Buenos Aires C1427EGD Argentina	54945538430	http://www.facebook.com/elotecocinaposta/	ui_bubble_rating bubble_45			
Roll'in Luí Alimentos	Almuerzo	#1.825 de 5.004 restaurantes en Buenos Aires	22 opiniones	Jorge Newery 3674, Buenos Aires 1426 Argentina	4551 3767	https://www.facebook.com/Rollinlui/	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
La Choppería	Reservas, Asiento	#1.827 de 5.004 restaurantes en Buenos Aires	25 opiniones	Calle Gurruchaga 1711 Esquina con El Salvador, Buenos Aires C1414DII Argentina	+54 11 4831-6277	https://www.facebook.com/pg/lachopperia/about/?ref=page_internal	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35
1745 BAR RESTO	Bar, Pub, Argentina, Sudamericana	#1.831 de 5.004 restaurantes en Buenos Aires	19 opiniones	Bartolomé Mitre 1745 Entre Callao y Rodriguez Peña, Buenos Aires C1037ABG Argentina	+54 11 4372-6287	http://www.facebook.com/1745Resto/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
La Veneziana	Argentina, Sudamericana	#1.837 de 5.004 restaurantes en Buenos Aires	11 opiniones	Neuquén 1275 Caballito, Buenos Aires 1424 Argentina	+54 11 4432-7474	http://www.laveneziana.com.ar/	ui_bubble_rating bubble_45			
Baking ba	Almuerzo	#1.840 de 5.004 restaurantes en Buenos Aires	29 opiniones	Suipacha 747, Buenos Aires Argentina	+54 11 4432-7474	http://www.bakingba.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Burger King	Comida para llevar, Acceso para silla de ruedas	#1.848 de 5.004 restaurantes en Buenos Aires	75 opiniones	Calle Carlos Pellegríni, 451 - San Nicolás, Buenos Aires Argentina	+54 11 4432-7474	http://www.burgerking.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
DRAFT by MyBeer	Cena, Abierto hasta tarde, Bebidas, Almuerzo	#1.851 de 5.004 restaurantes en Buenos Aires	14 opiniones	Manuela Pedraza 4069 Coghlan, Buenos Aires C1430AOM Argentina	+54 11 6454-1108	http://draftbymybeer.com/	ui_bubble_rating bubble_45			
Wok Express	Apto para vegetarianos, Opciones veganas	#1.852 de 5.004 restaurantes en Buenos Aires	37 opiniones	Calle Carlos Pellegrini 169, Buenos Aires C1009ABC Argentina	+54 11 6454-1108	https://www.facebook.com/wokexpressbaires	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
La Nueva Gata Alegría	Cena	#1.853 de 5.004 restaurantes en Buenos Aires	16 opiniones	Calle Billinghurst 2046 entre Juncal y Berutti, Buenos Aires C1425DTP Argentina	+54 11 4823-6557		ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Pizzicato	Almuerzo, Cena	#1.875 de 5.004 restaurantes en Buenos Aires	15 opiniones	Avenida Asamblea 499 Y Jose Maria Moreno, Buenos Aires C1424COE Argentina	+54 11 4924-2724		ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Praline Cakes		#1.891 de 5.004 restaurantes en Buenos Aires	10 opiniones	Calle Fray Justo Santa Maria de Oro 2686, Buenos Aires C1425FON Argentina	+54 11 3140-5576	https://www.facebook.com/pralinecakes/	ui_bubble_rating bubble_45			
Street Market	Cervecería, Pizzería, Café, Sushi, Española, Pub	#1.893 de 5.004 restaurantes en Buenos Aires	8 opiniones	Avenida Paseo Colon 207 Avenida Paseo Colon 207, Buenos Aires C1063ACC Argentina	+54 11 6002-6920	http://streetmarket.com.ar/	ui_bubble_rating bubble_50			
Brasileirinho	Desayuno, Almuerzo, Cena	#1.897 de 5.004 restaurantes en Buenos Aires	41 opiniones	Calle Florida 537 Local 270, Subsolo, Buenos Aires C1005AAK Argentina	+54 11 4328-8787	http://www.facebook.com/Brasileirinho-527437577422477	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
La Casona Del Griego	Almuerzo, Cena	#1.907 de 5.004 restaurantes en Buenos Aires	26 opiniones	Calle Gervasio Espinosa 79, Buenos Aires C1406CBA Argentina	4431-0984/ 4433-3390	http://www.lacasonadelgriego.com.ar/el-griego/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Burger King	Cena	#1.910 de 5.004 restaurantes en Buenos Aires	110 opiniones	Avenida Santa Fe 4190, Buenos Aires C1425BHQ Argentina	+54 810-122-5464	http://www.burgerking.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30
Fiorenza	Argentina, Italiana, Sudamericana	#1.920 de 5.004 restaurantes en Buenos Aires	9 opiniones	Avenida Diaz Velez 5316 Caballito, Buenos Aires C1405DCV Argentina	+54 11 4982-9892	http://www.fiorenzahelados.com.ar/header.html	ui_bubble_rating bubble_50			
Estación 628	Cena	#1.923 de 5.004 restaurantes en Buenos Aires	9 opiniones	Avenida Raul Scalabrini Ortiz 628, Buenos Aires C1414DNT Argentina	+54 11 4855-6155	https://www.facebook.com/estacion628/	ui_bubble_rating bubble_50			
Kentucky	Comida para llevar, Asiento	#1.938 de 5.004 restaurantes en Buenos Aires	79 opiniones	Paraguay 501, Buenos Aires Argentina	43115994	http://www.pizzeriaskentucky.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Pikito	Cena	#1.941 de 5.004 restaurantes en Buenos Aires	45 opiniones	Calle Helguera 2916, Buenos Aires C1417CQP Argentina	4502-0983		ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Holy Burgirls	Comida rápida, Argentina, Sudamericana	#1.944 de 5.004 restaurantes en Buenos Aires	31 opiniones	Bulnes 1248, Buenos Aires 1176 Argentina	+54 11 2068-0242	http://www.facebook.com/holyburgirls/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
Haysam	Apto para vegetarianos	#1.945 de 5.004 restaurantes en Buenos Aires	33 opiniones	Avenida Scalabrini Ortiz 1601 El Salvador, Buenos Aires Argentina	48339321		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Club Portugues	Comida para llevar, Reservas, Asiento	#1.970 de 5.004 restaurantes en Buenos Aires	54 opiniones	Avenida Pedro Goyena 1468, Buenos Aires C1406GWQ Argentina	+54 11 4432-5801		ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35
Punto y Banca	Apto para vegetarianos	#1.974 de 5.004 restaurantes en Buenos Aires	23 opiniones	Mansilla 3494 Palermo, Buenos Aires C1180ACH Argentina	+54 11 4823-9345		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
TuArepa.com	Latina, Venezolana, Española, Sudamericana	#1.980 de 5.004 restaurantes en Buenos Aires	14 opiniones	Aguero 1199 y paraguay, Buenos Aires C1425EHA Argentina	+54 11 2402-9384	http://www.facebook.com/tuarepabuenosaires/	ui_bubble_rating bubble_45			
Confiteria Antigua Belgrano		#1.983 de 5.004 restaurantes en Buenos Aires	11 opiniones	Cabildo 2077 Juramento, Buenos Aires Argentina	47885829		ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Sumaq Sangucheria Italo Peruana	Cena, Desayuno, Almuerzo	#1.988 de 5.004 restaurantes en Buenos Aires	21 opiniones	Avenida Cordoba 380, Buenos Aires C1054AAP Argentina	4313 5559	https://www.pyme.pe/sumaq	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Pekin Restaurante	Almuerzo	#1.990 de 5.004 restaurantes en Buenos Aires	31 opiniones	Marcelo t de Alvear 430, Buenos Aires Argentina	4313 5559		ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Gustado’s	Argentina, Sudamericana	#2.014 de 5.004 restaurantes en Buenos Aires	11 opiniones	Bogota 350, Buenos Aires C1405 Argentina	+54 11 4902-5001	http://www.gustados.com.ar/	ui_bubble_rating bubble_45			
La Parrilla De Dieguito	Cena	#2.015 de 5.004 restaurantes en Buenos Aires	15 opiniones	Joaquin V. Gonzalez 3101, Buenos Aires Argentina	+54 11 4902-5001		ui_bubble_rating bubble_45			
Beerlabs	Cervecería, Bar, Pub, Gastropub, Argentina	#2.017 de 5.004 restaurantes en Buenos Aires	7 opiniones	Calle Humboldt 1618 Humboldt y Gorriti, Buenos Aires C1414CTP Argentina	+54 11 3013-4810	http://www.beerlabs.com.ar/	ui_bubble_rating bubble_45			
The Little Bar	Cervecería, Argentina, Pizzería, Pub, Sudamericana	#2.029 de 5.004 restaurantes en Buenos Aires	38 opiniones	Calle Gurruchaga 1324, Buenos Aires C1414DIB Argentina	+54 11 5612-7937	http://www.thelittlebar.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Vinotinto Cocina Andante	Italiana, Latina, Mediterránea, Española	#2.039 de 5.004 restaurantes en Buenos Aires	9 opiniones	Calle Julian Alvarez 1602 Esquina El Salvador, Buenos Aires C1414DSH Argentina	5448614941	http://www.vinotintococina.com/	ui_bubble_rating bubble_45			
La Diosa	Cena	#2.040 de 5.004 restaurantes en Buenos Aires	22 opiniones	Calle El Salvador 5565, Buenos Aires C1414BQC Argentina	+54 11 2051-5959	https://www.facebook.com/cenashowboliche/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
KFC	Cena	#2.052 de 5.004 restaurantes en Buenos Aires	24 opiniones	Calle Florida Galerias Pacifico, Buenos Aires C1053ABK Argentina	+54 11 5555-5110	http://www.kfc.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Las Medialunas Del Abuelo	Desayuno, Almuerzo, Cena, Brunch	#2.055 de 5.004 restaurantes en Buenos Aires	26 opiniones	Calle San Jose de Calasanz 154 Caballito, Buenos Aires C1424AHD Argentina	4902-4430	http://www.medialunasdelabuelo.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
The BARBEER	Bar, Cervecería, Comida rápida, Pub	#2.056 de 5.004 restaurantes en Buenos Aires	27 opiniones	Costa Rica 5560 Palermo Hollywwod, Buenos Aires 1414 Argentina	+54 11 2192-0682	http://thebarbeer.co/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Subway San Telmo	Comida para llevar	#2.060 de 5.004 restaurantes en Buenos Aires	31 opiniones	Defensa 891, Buenos Aires Argentina	+54 11 2192-0682	http://www.subwayargentina.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
El Autentico Club de La Salchicha Alemana		#2.063 de 5.004 restaurantes en Buenos Aires	15 opiniones	Calle Suipacha 184, Buenos Aires C1008AAD Argentina	+54 11 4322-3838		ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Ravens Craft Beer	Estadounidense, Argentina, Venezolana, Sudamericana	#2.064 de 5.004 restaurantes en Buenos Aires	10 opiniones	Calle Balcarce 983, Buenos Aires C1064AAS Argentina	+54 11 4322-3838	https://www.facebook.com/ravenscraftbeer/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50	ui_bubble_rating bubble_50
Siete Cafe Urbano	Café, Comida rápida, Argentina, Sudamericana	#215 de 438 casas de café y té en Buenos Aires	7 opiniones	Avenida Rivadavia 1182, Buenos Aires C1033AAO Argentina	43813873	https://www.facebook.com/sietecafeurbano/	ui_bubble_rating bubble_50			
Dunkel	Italiana, Estadounidense, Alemana, Brasilera, Argentina, Sudamericana	#2.075 de 5.004 restaurantes en Buenos Aires	11 opiniones	Piedras 178, Buenos Aires 1768 Argentina	5443420402		ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
La Palomina	Argentina, Parrilla	#2.080 de 5.004 restaurantes en Buenos Aires	33 opiniones	Soler 6093, Buenos Aires 1425 Argentina	+54 11 6964-8485		ui_bubble_rating bubble_40			
Taco N Todo	Apto para vegetarianos	#2.089 de 5.004 restaurantes en Buenos Aires	20 opiniones	Juan Bautista Alberdi 698 Esquina con San José de Calasanz, Buenos Aires C1424BYT Argentina	+54 11 4902-5773	http://www.facebook.com/tacontodocaballito/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Temple Craft Madero	Cena	#2.090 de 5.004 restaurantes en Buenos Aires	24 opiniones	Juana Manuela Gorriti 867, Puente de la Mujer., Buenos Aires C1106 Argentina	+54 9 11 6739-0110	http://www.thetemplebar.com.ar/	ui_bubble_rating bubble_40			
Esquina Taki	Cena, Bebidas	#2.097 de 5.004 restaurantes en Buenos Aires	23 opiniones	Avenida Garcia Del Rio 3003, Buenos Aires C1429DEG Argentina	+54 11 3209-5802	http://www.facebook.com/esquina.taki	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Demashk	Apto para vegetarianos	#2.099 de 5.004 restaurantes en Buenos Aires	22 opiniones	Charcas 3816, Buenos Aires Argentina	+54 11 4833-6699		ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
Y La Vaca Chocha	Desayuno, Almuerzo, Cena, Brunch	#2.100 de 5.004 restaurantes en Buenos Aires	14 opiniones	Avenida San Juan 409, Buenos Aires C1147AAC Argentina	2047 - 5827	https://www.facebook.com/Y-la-Vaca-Chocha-418779168177808/?fref=ts	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40
Resto El Pato Loco	Almuerzo, Cena	#2.112 de 5.004 restaurantes en Buenos Aires	17 opiniones	Goncalves Días 873, Buenos Aires 1276 Argentina	+54 11 4301-9462	https://www.facebook.com/Resto-El-Pato-Loco-1818201498409385/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Subway	Comida para llevar, Wi-Fi gratis, Acceso para silla de ruedas	#2.113 de 5.004 restaurantes en Buenos Aires	65 opiniones	Cordoba 945, Buenos Aires 1008 Argentina	43220293	http://www.subwayargentina.com/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_30
Ditalia	Cena	#2.116 de 5.004 restaurantes en Buenos Aires	16 opiniones	Calle Maipu 902, Buenos Aires C1006ACN Argentina	+54 11 4311-1972		ui_bubble_rating bubble_40			
Cafe de los Caminantes		#2.120 de 5.004 restaurantes en Buenos Aires	13 opiniones	Sarmiento 4701, Buenos Aires Argentina	+54 11 4311-1972		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Parrilla Dona Tota	Almuerzo, Cena	#2.121 de 5.004 restaurantes en Buenos Aires	25 opiniones	Costa Rica 4486, Buenos Aires 1414 Argentina	+54 9 11 6113-6466	https://www.facebook.com/Parrilla.DonaTota/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Naturaleza Divina	De la India	#2.124 de 5.004 restaurantes en Buenos Aires	28 opiniones	Ciudad de la Paz 394, Buenos Aires Argentina	3532-9996	http://www.facebook.com/Naturaleza-Divina-116643091741343/timeline	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
Al Fares	Apto para vegetarianos	#2.129 de 5.004 restaurantes en Buenos Aires	55 opiniones	Aráoz 1047, Buenos Aires C1414DPT Argentina	+54 11 4772-2051	http://www.facebook.com/alfaresresto/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Cerveza Patagonia	Almuerzo, Cena, Abierto hasta tarde, Bebidas	#2.132 de 5.004 restaurantes en Buenos Aires	9 opiniones	Gurruchaga, 1437 Cerca esquina c/ José Antonio Cabrera, Buenos Aires C1414DID Argentina	+54 11 2122-6372	http://www.cervezapatagonia.com.ar/	ui_bubble_rating bubble_45			
Confitería La Exposición		#2.137 de 5.004 restaurantes en Buenos Aires	14 opiniones	Libertad 1299 Libertad y Juncal, Buenos Aires C1018 Argentina	+54 11 4811-5307	http://www.laexposicion.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	
Buenos Aires Bakery	Desayuno, Almuerzo, Cena	#2.139 de 5.004 restaurantes en Buenos Aires	9 opiniones	Avenida Santa Fe 1185, Buenos Aires C1059ABF Argentina	4813-5398		ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40
On tap Barcelona	Cena	#2.141 de 5.004 restaurantes en Buenos Aires	22 opiniones	Muñiz 1002, Buenos Aires Argentina	+54 11 2088-7043		ui_bubble_rating bubble_40	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Sunderland Club	Cena, Almuerzo	#2.150 de 5.004 restaurantes en Buenos Aires	23 opiniones	L Lugones 3161, Buenos Aires 1430 Argentina	+54 11 4541-2378	https://www.facebook.com/sunderland.club.5	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Hotel ritz		#2.156 de 5.004 restaurantes en Buenos Aires	38 opiniones	Avenina De mayo 1111, Buenos Aires Argentina	+54 11 4541-2378		ui_bubble_rating bubble_35			
Mi Consuelo	Almuerzo, Cena	#2.164 de 5.004 restaurantes en Buenos Aires	17 opiniones	Calle Monroe 1420 entre Av. Del Libertador y Migueletes, Buenos Aires C1428BKP Argentina	+54 11 4787-1505		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45
Musicleta Resto + Bar y Musica en vivo	Cena	#2.168 de 5.004 restaurantes en Buenos Aires	9 opiniones	Aguirre 489, Buenos Aires Argentina	+54 11 4787-1505	http://www.facebook.com/musicletabar/	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	ui_bubble_rating bubble_45	
Eat	Desayuno, Almuerzo	#2.183 de 5.004 restaurantes en Buenos Aires	23 opiniones	Tucuman 420 Entre Reconquista y San Martin - Microcentro Porteno, Buenos Aires Argentina	43228782		ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_35
Café Bar Defensa	Argentina	#2.182 de 5.004 restaurantes en Buenos Aires	61 opiniones	Defensa 1301, Buenos Aires C1143AAC Argentina	+54 11 4361-0673	https://www.facebook.com/BarDefensa/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
I Love Arepa	Almuerzo, Cena, Desayuno	#2.190 de 5.004 restaurantes en Buenos Aires	18 opiniones	Rodríguez Peña 33, Buenos Aires 4101 Argentina	+54 11 2899-7864	http://www.buenasarepas.com/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Bataxa	Cena	#2.198 de 5.004 restaurantes en Buenos Aires	13 opiniones	Ramsay 1880, Buenos Aires 1428 Argentina	+54 11 2899-7864		ui_bubble_rating bubble_45			
Viejo Bar	Asiento, Servicio de mesa	#2.199 de 5.004 restaurantes en Buenos Aires	13 opiniones	Avenida Cordoba 4731, Buenos Aires C1414BAF Argentina	+54 11 4770-9110	https://www.facebook.com/viejobardepalermo/	ui_bubble_rating bubble_40			
La Corvina	Pizzería, Argentina, Sudamericana	#2.201 de 5.004 restaurantes en Buenos Aires	21 opiniones	Emilio Castro 7296 Liniers, Buenos Aires Argentina	+(54)46861056	https://www.facebook.com/lacorvinapizzeria/	ui_bubble_rating bubble_40			
Ugi’s	Cena	#2.213 de 5.004 restaurantes en Buenos Aires	20 opiniones	Av. Córdoba 5021, Buenos Aires C1414BAI Argentina	+54 11 4647-2596	https://www.facebook.com/PizzaUgis?fref=nf	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30	ui_bubble_rating bubble_45
Los Tucu 2		#2.222 de 5.004 restaurantes en Buenos Aires	7 opiniones	Calle Salta 703 Montserrat, Buenos Aires C1074AAO Argentina	+54 43824693	https://www.facebook.com/Los-Tucus-2-60590481806/	ui_bubble_rating bubble_45			
Le Troquet de Henry	Asiento	#2.225 de 5.004 restaurantes en Buenos Aires	31 opiniones	Guardia Vieja 3460, Buenos Aires Argentina	+54 11 4861-8694	https://www.facebook.com/letroquetdehenry.3460	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Trak Pollo a Las Brasas	Entrega a domicilio, Comida para llevar	#2.229 de 5.004 restaurantes en Buenos Aires	19 opiniones	Calle Parral 59, Buenos Aires C1405AXA Argentina	+54 11 4785-5555	http://www.pollotrak.com.ar/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
Shawarma Al Amir	Comida rápida, Del Medio Oriente, De Europa del Este, Armenia	#2.238 de 5.004 restaurantes en Buenos Aires	7 opiniones	Montañeses 2073, Buenos Aires C1428AQE Argentina	+54 11 3796-5198	https://www.facebook.com/ShawarmaAlAmir/?rf=113023900104219	ui_bubble_rating bubble_45			
McDonald's	Almuerzo, Cena	#2.246 de 5.004 restaurantes en Buenos Aires	102 opiniones	Avenida Cabildo 742, Buenos Aires C1426AAU Argentina	+54 11 3796-5198	http://www.mcdonalds.com.ar/	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35
Shami Shawarma	Cena	#2.249 de 5.004 restaurantes en Buenos Aires	26 opiniones	Calle Gurruchaga 691, Buenos Aires C1414DHM Argentina	+54 11 3796-5198		ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Órale Juanito	Almuerzo, Cena, Abierto hasta tarde, Bebidas	#2.256 de 5.004 restaurantes en Buenos Aires	30 opiniones	Martin Fierro 2921, Buenos Aires 1713 Argentina	+54 11 4658-0381	http://www.facebook.com/OraleJuanito	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_30
La Ochavita	Comida para llevar, Reservas	#2.260 de 5.004 restaurantes en Buenos Aires	22 opiniones	Pieres 1399 esquina Bragado ,Mataderos., Buenos Aires Argentina	20575872	http://www.facebook.com/laochavita	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45
Kentucky	Almuerzo, Cena	#2.261 de 5.004 restaurantes en Buenos Aires	38 opiniones	Avenida Santa Fe 2702 esquina Anchorena, Buenos Aires C1425BGP Argentina	+54 11 4826-5799	http://www.pizzeriaskentucky.com/locales	ui_bubble_rating bubble_35	ui_bubble_rating bubble_35	ui_bubble_rating bubble_25	ui_bubble_rating bubble_40
El Huracan	Cena	#2.279 de 5.004 restaurantes en Buenos Aires	16 opiniones	Avenue Caseros 2807, Buenos Aires Argentina	+54 11 4308-3520		ui_bubble_rating bubble_40	ui_bubble_rating bubble_40	ui_bubble_rating bubble_35	ui_bubble_rating bubble_40
Al Árabe	Del Medio Oriente	#2.291 de 5.004 restaurantes en Buenos Aires	35 opiniones	El Salvador 4999, Buenos Aires C1414BPO Argentina	+54 11 4833-0219	http://www.facebook.com/resturantealarabe/	ui_bubble_rating bubble_40	ui_bubble_rating bubble_45	ui_bubble_rating bubble_35	ui_bubble_rating bubble_45
